date,name,email,type,section,action,x,y,condition,notes
4/18/2011,Ian Hough,ian@brighterplanet.com,meta,Intended use,,http://www.faa.gov/air_traffic/publications/atpubs/CNT/5-2.HTM,,,"import FAA list of ICAO aircraft codes, excluding helicopters and some military/little-used aircraft"
4/18/2011,Ian Hough,ian@brighterplanet.com,editorial,Type/Wt Class,reject,/^[HDGT]/i,,,"discard helicopters, dirigibles, gyrocopters, and tilt-wing aircraft"
4/19/2011,Ian Hough,ian@brighterplanet.com,editorial,Manufacturer,replace,/^AERO COMMANDER$/i,AERO,,consolidate manufacturer names
4/19/2011,Ian Hough,ian@brighterplanet.com,editorial,Manufacturer,replace,"/^AERO DESIGN & ENGINEERING CO, US$/i",AERO,,consolidate manufacturer names
4/18/2011,Ian Hough,ian@brighterplanet.com,editorial,Manufacturer,replace,/^BRITISH AEROSPACE$/i,BAE,,consolidate manufacturer names
4/19/2011,Ian Hough,ian@brighterplanet.com,editorial,Manufacturer,replace,/^BRITTENNORMAN$/i,BRITTEN-NORMAN,,consolidate manufacturer names
4/19/2011,Ian Hough,ian@brighterplanet.com,editorial,Manufacturer,replace,/^DE HAVILLAND CANADA$/i,DE HAVILLAND,,consolidate manufacturer names
4/18/2011,Ian Hough,ian@brighterplanet.com,editorial,Manufacturer,replace,/^DOUGLAS$/i,MCDONNELL DOUGLAS,,consolidate manufacturer names
4/18/2011,Ian Hough,ian@brighterplanet.com,editorial,Manufacturer,replace,/^FAIRCHILD DORNIER$/i,DORNIER,,consolidate manufacturer names
4/19/2011,Ian Hough,ian@brighterplanet.com,editorial,Manufacturer,replace,/^GRUMMAN AMERICAN$/i,GRUMMAN,,consolidate manufacturer names
4/19/2011,Ian Hough,ian@brighterplanet.com,editorial,Manufacturer,replace,/^HAWKER BEECHCRAFT CORP$/i,HAWKER BEECHCRAFT,,consolidate manufacturer names
4/19/2011,Ian Hough,ian@brighterplanet.com,editorial,Manufacturer,replace,"/^NAMC, JAPAN$/i",NAMC,,consolidate manufacturer names
5/13/2011,Ian Hough,ian@brighterplanet.com,editorial,Manufacturer,replace,/^SHORT$/i,SHORTS,,consolidate manufacturer names
4/19/2011,Ian Hough,ian@brighterplanet.com,editorial,Model,replace,/ RG$/i,,,delete trailing 'rg'
